OBJECTID,FREQUENCY,NEIGHNAME,BASE_ZONE,GENERAL_ZONING,ACRES,geom
219,12,BOULDIN CREEK,UNZ,Unzoned,61.89037614,
1937,228,WEST UNIVERSITY,CS,Commercial,48.90805596,
1080,1459,MLK,SF-3,Single Family,371.3268154,
1808,23,UPPER BOGGY CREEK,P,Public,20.32420548,
1246,42,NORTH UNIVERSITY,P,Public,10.30594727,
902,8,HYDE PARK,CS,Vertical Mixed Use,7.915398774,
801,87,HANCOCK,SF-2,Single Family,23.25392288,
354,2,CIRCLE C SOUTH,P,Public,5.03100388,
802,1070,HANCOCK,SF-3,Single Family,168.1484694,
1998,9,WHISPER VALLEY,PUD,Planned Unit Development,2049.655703,
442,9,DECKER LAKE,CS-1,Commercial,27.42855038,
1237,27,NORTH UNIVERSITY,LO,Office,3.721723223,
120,2,BARTON CREEK MALL AREA,MF-3,Multi-Family,35.91098619,
1336,78,PARKER LANE,MF-2,Multi-Family,108.1083306,
950,40,JOHNSTON TERRACE,MF-2,Multi-Family,7.236509699,
1461,19,ROGERS HILL,MH,Mobile Home,159.808141,
1663,29,SOUTHEAST,RR,"Rural, Lake Austin Residence",64.15497726,
629,33,FRANKLIN PARK,GO,Office,11.46921147,
2000,85,WINDSOR HILLS,CS,Commercial,77.177037,
1401,3,POND SPRINGS,SF-4A,Single Family,26.09993462,
238,29,BRENTWOOD,P,Public,28.0674117,
1820,25,UT,MF-5,Multi-Family,29.23384885,
571,682,EAST CONGRESS,SF-2,Single Family,129.3907683,
345,37,CHESTNUT,TOD,TOD/Corridor/Specific Regulating District,20.82173727,
603,50,EAST OAK HILL,SF-6,Single Family,42.39627641,
1611,63,SOUTH MANCHACA,GR,Vertical Mixed Use,39.00535747,
1677,2,SPICEWOOD,PUD,Planned Unit Development,417.8955225,
1649,52,SOUTH RIVER CITY,SF-2,Single Family,8.893701936,
1926,64,WEST OAK HILL,P,Public,748.5530408,
1887,159,WEST CONGRESS,CS,Mixed Use,125.6274501,
456,1,DEL VALLE,CH,Commercial,60.29109273,
1233,12,NORTH UNIVERSITY,CS-1,Commercial,0.699762201,
1053,5,MCNEIL,MF-4,Multi-Family,24.11721665,
599,185,EAST OAK HILL,SF-1,Single Family,179.994598,
1809,33,UPPER BOGGY CREEK,PUD,Planned Unit Development,2.099733682,
596,113,EAST OAK HILL,PUD,Planned Unit Development,245.6914146,
1242,110,NORTH UNIVERSITY,MF-4,Multi-Family,26.49020721,
1853,4,WALNUT CREEK--PIONEER HILL,MF-3,Multi-Family,33.25741636,
988,8,LBJ,LI,Industrial,53.88744477,
1218,19,NORTH SHOAL CREEK,GR,Commercial,55.10806336,
1877,3,WEST AUSTIN NEIGHBORHOOD GROUP,MF-4,Multi-Family,2.160106376,
223,176,BRENTWOOD,CS,Vertical Mixed Use,67.08499287,
384,65,CRESTVIEW,CS,Vertical Mixed Use,23.87923016,
901,14,HYDE PARK,CS,Commercial,8.10926672,
242,11,BRENTWOOD,UNZ,Unzoned,93.1017456,
1372,24,PLEASANT VALLEY,MF-3,Multi-Family,105.6661536,
453,3,DECKER LAKE,UNZ,Unzoned,1166.728871,
1657,10,SOUTHEAST,GR,Commercial,5.911783083,
1331,15,PARKER LANE,GR,Mixed Use,7.640928412,
1174,14,NORTH LAMAR,LO,Office,17.37507702,
1907,125,WEST OAK HILL,CS,Commercial,147.2872336,
282,71,CENTRAL EAST AUSTIN,CS-1,Commercial,5.488667513,
707,11,GEORGIAN ACRES,LI,Industrial,6.861250809,
1144,190,NORTH AUSTIN CIVIC ASSOCIATION,MF-2,Multi-Family,110.0782838,
1699,34,ST. EDWARDS,MF-3,Multi-Family,57.82955171,
1460,7,ROGERS HILL,MF-2,Multi-Family,74.83331648,
2085,1263,WOOTEN,SF-3,Single Family,229.7490463,
743,1446,GOVALLE,SF-3,Single Family,277.0817973,
1640,12,SOUTH RIVER CITY,MF-1,Multi-Family,0.901544528,
1739,908,SWEETBRIAR,SF-3,Single Family,175.8226393,
91,35,AVERY RANCH--LAKELINE,GR,Commercial,287.4782519,
1120,17,MONTOPOLIS,LR,Mixed Use,2.903235017,
1813,88,UT,CS,Commercial,48.3007798,
1114,25,MONTOPOLIS,GR,Mixed Use,8.667158548,
1647,75,SOUTH RIVER CITY,P,Public,46.35902675,
342,5,CHESTNUT,MF-4,Multi-Family,0.299682873,
1552,58,SLAUGHTER CREEK,RR,"Rural, Lake Austin Residence",442.8666905,
1241,114,NORTH UNIVERSITY,MF-3,Multi-Family,16.42234421,
235,123,BRENTWOOD,MF-3,Multi-Family,28.91993563,
583,39,EAST OAK HILL,GR,Mixed Use,61.15395448,
1462,23,ROGERS HILL,P,Public,501.8316772,
1430,2,RMMA,GR,Mixed Use,0.164798987,
2013,471,WINDSOR HILLS,SF-2,Single Family,154.1877721,
1905,31,WEST OAK HILL,AG,"Agriculture, Development Reserve",157.9442204,
1666,38,SOUTHEAST,W/LO,Industrial,20.1072528,
690,1366,GARRISON PARK,SF-2,Single Family,266.7235525,
778,46,GRACY WOODS,SF-6,Single Family,252.3919759,
1350,45,PECAN SPRINGS-SPRINGDALE,GR,Commercial,53.34550938,
1005,72,MANSFIELD--RIVER PLACE,LA,"Rural, Lake Austin Residence",1315.126534,
1131,6,MONTOPOLIS,SF-5,Single Family,1.043704327,
557,298,EAST CESAR CHAVEZ,TOD,TOD/Corridor/Specific Regulating District,63.58423103,
833,4,HERITAGE HILLS,LO,Office,0.409007701,
661,4,GALINDO,MF-2,Multi-Family,22.45877911,
102,142,AVERY RANCH--LAKELINE,PUD,Planned Unit Development,2108.608333,
97,2,AVERY RANCH--LAKELINE,MF-2,Multi-Family,62.20557105,
274,49,BULL CREEK,SF-2,Single Family,635.5432397,
637,22,FRANKLIN PARK,MF-1,Multi-Family,5.604155676,
729,2,GOVALLE,GO,Vertical Mixed Use,0.803517376,
639,32,FRANKLIN PARK,MF-3,Multi-Family,38.97557145,
724,46,GOVALLE,CS,Vertical Mixed Use,28.05103357,
105,57,AVERY RANCH--LAKELINE,SF-2,Single Family,184.8382586,
159,3,BERGSTROM,MH,Mobile Home,6.262710236,
286,4,CENTRAL EAST AUSTIN,GO,Vertical Mixed Use,18.58427465,
640,21,FRANKLIN PARK,MH,Mobile Home,28.92781271,
491,3,DITTMAR--SLAUGHTER,CS,Mixed Use,3.627937639,
272,2,BULL CREEK,RR,"Rural, Lake Austin Residence",6.968780462,
705,2,GEORGIAN ACRES,GR,Mixed Use,2.373313604,
275,63,BULL CREEK,SF-3,Single Family,451.3400691,
132,2,BARTON HILLS,CS,Commercial,1.236179696,
486,18,DEL VALLE EAST,RR,"Rural, Lake Austin Residence",1645.809734,
664,5,GALINDO,MH,Mobile Home,1.571765809,
680,11,GARRISON PARK,LR,Commercial,5.421844391,
2064,3,WINDSOR ROAD,MF-4,Multi-Family,3.753676382,
648,9,GALINDO,CS,Commercial,19.72166149,
688,32,GARRISON PARK,PUD,Planned Unit Development,34.31767268,
728,4,GOVALLE,GO,Office,0.758942805,
709,7,GEORGIAN ACRES,LO,Office,0.952695578,
683,98,GARRISON PARK,MF-2,Multi-Family,35.35182988,
1869,29,WEST AUSTIN NEIGHBORHOOD GROUP,GR,Commercial,6.124997761,
990,1,LBJ,LR,Commercial,11.16653743,
1405,6,RIVERSIDE,CS,Commercial,3.45813994,
1485,9,ROSEDALE,MF-3,Multi-Family,6.760182231,
1609,4,SOUTH MANCHACA,GO,Office,0.958674251,
1968,7,WESTGATE,LO,Mixed Use,4.669351956,
2008,13,WINDSOR HILLS,LO,Vertical Mixed Use,3.025270736,
1128,19,MONTOPOLIS,SF-2,Single Family,7.222336129,
937,34,JESTER,SF-2,Single Family,549.9046799,
1695,6,ST. EDWARDS,LO,Mixed Use,4.696676699,
1449,6,ROGERS HILL,CS,Commercial,24.57307501,
1745,9,TECH RIDGE,CS-1,Commercial,0.95345858,
1976,40,WESTGATE,PUD,Planned Unit Development,6.225252831,
972,16,JOLLYVILLE,MF-2,Multi-Family,177.5917508,
587,98,EAST OAK HILL,LO,Office,126.4881931,
1294,38,OLD WEST AUSTIN,MF-3,Multi-Family,49.32187717,
678,20,GARRISON PARK,LO,Mixed Use,7.539993208,
1719,85,ST. JOHN,MF-3,Multi-Family,58.78732604,
1399,52,POND SPRINGS,SF-1,Single Family,46.41223157,
1319,3,ONION CREEK,MF-4,Multi-Family,15.9780262,
1238,6,NORTH UNIVERSITY,LR,Commercial,0.399443536,
635,39,FRANKLIN PARK,LR,Commercial,9.93103233,
1827,1,VILLAGE AT WESTERN OAKS,DR,"Agriculture, Development Reserve",3.175856365,
948,18,JOHNSTON TERRACE,LI,Industrial,72.8004575,
1378,102,PLEASANT VALLEY,SF-2,Single Family,42.84675605,
1878,3,WEST AUSTIN NEIGHBORHOOD GROUP,NO,Mixed Use,0.220035486,
1313,10,ONION CREEK,GR,Commercial,37.73499196,
908,3,HYDE PARK,LR,Commercial,0.625709438,
643,29,FRANKLIN PARK,RR,"Rural, Lake Austin Residence",16.52860406,
2109,1,ZILKER,SF-5,Single Family,1.038697228,
1675,1,SPICEWOOD,NO,Office,0.778801515,
1166,5,NORTH LAMAR,CS-1,Mixed Use,0.627127717,
2068,5,WINDSOR ROAD,PUD,Planned Unit Development,12.13075964,
1780,22,UNIVERSITY HILLS,LR,Commercial,4.468565177,
1988,12,WESTOVER HILLS,MF-2,Multi-Family,68.89683809,
2092,2,ZILKER,GO,Office,0.100225009,
2003,23,WINDSOR HILLS,GO,Office,31.96954869,
660,2,GALINDO,LR,Mixed Use,0.496030021,
1731,53,SWEETBRIAR,LO,Mixed Use,5.65217325,
1770,5,TRIANGLE STATE,PUD,Planned Unit Development,37.82540913,
682,10,GARRISON PARK,MF-1,Multi-Family,5.38588551,
1347,3,PECAN SPRINGS-SPRINGDALE,CS,Mixed Use,3.992766319,
2032,16,WINDSOR PARK,LO,Mixed Use,3.79465025,
1023,32,MCKINNEY,CS,Commercial,23.44202157,
1867,3,WEST AUSTIN NEIGHBORHOOD GROUP,CS-1,Commercial,0.237599542,
1614,43,SOUTH MANCHACA,LO,Vertical Mixed Use,17.94341155,
1563,6,SOUTH BRODIE,GR,Commercial,12.5969081,
720,12,GEORGIAN ACRES,SF-6,Single Family,3.085715384,
1795,17,UPPER BOGGY CREEK,CS-1,Vertical Mixed Use,1.453267697,
880,9,HOLLY,CS,Commercial,0.553449855,
1890,8,WEST CONGRESS,GR,Commercial,1.573878372,
1320,6,ONION CREEK,PUD,Planned Unit Development,479.8520392,
667,4,GALINDO,P,Public,33.00041721,
726,1,GOVALLE,CS-1,Mixed Use,0.053063815,
1038,7,MCKINNEY,W/LO,Industrial,66.42398085,
725,1,GOVALLE,CS-1,Commercial,0.016048258,
828,88,HERITAGE HILLS,GR,Commercial,125.898645,
1054,2,MCNEIL,MI,Industrial,69.20794772,
684,18,GARRISON PARK,MF-3,Multi-Family,2.802463397,
1944,38,WEST UNIVERSITY,GR,Commercial,8.232321311,
877,68,HIGHLAND PARK,SF-3,Single Family,900.4055399,
1829,10,VILLAGE AT WESTERN OAKS,GR,Mixed Use,51.08286459,
938,3,JESTER,SF-3,Single Family,12.4435,
1659,18,SOUTHEAST,IP,Industrial,33.54912522,
751,7,GRACY WOODS,CS-1,Commercial,0.786454881,
1511,53,ROSEWOOD,P,Public,97.06088534,
633,3,FRANKLIN PARK,LO,Mixed Use,0.450510823,
1804,3,UPPER BOGGY CREEK,MF-2,Multi-Family,0.66446363,
1903,8,WEST CONGRESS,W/LO,Industrial,2.687440951,
1435,13,RMMA,SF-3,Single Family,0.179926454,
851,6,HIGHLAND,LR,Mixed Use,0.335081968,
1382,1,POND SPRINGS,CH,Commercial,38.16717959,
1318,1,ONION CREEK,MF-3,Multi-Family,31.29497853,
2009,7,WINDSOR HILLS,LR,Vertical Mixed Use,8.095424101,
773,60,GRACY WOODS,SF-1,Single Family,322.7871758,
1948,89,WEST UNIVERSITY,LO,Office,12.39972541,
1769,5,TRIANGLE STATE,MF-6,Multi-Family,3.16976453,
1203,115,NORTH LOOP,MF-3,Multi-Family,10.04236421,
835,23,HERITAGE HILLS,MF-3,Multi-Family,57.06521533,
1489,6,ROSEDALE,P,Public,4.399136401,
1283,15,OLD WEST AUSTIN,GO,Office,5.081587079,
1782,15,UNIVERSITY HILLS,MF-2,Multi-Family,2.654817629,
676,6,GARRISON PARK,GR,Mixed Use,5.675873958,
1621,3,SOUTH MANCHACA,PUD,Planned Unit Development,17.14141377,
1646,3,SOUTH RIVER CITY,NO,Office,0.412632313,
1138,9,NORTH AUSTIN CIVIC ASSOCIATION,GO,Office,1.33488369,
1527,5,SAMSUNG--PIONEER CROSSING,SF-2,Single Family,4.990929764,
845,10,HIGHLAND,CS-1,Vertical Mixed Use,2.976014801,
1304,3,OLD WEST AUSTIN,SF-5,Single Family,0.552311794,
1732,15,SWEETBRIAR,LO,Office,12.28508806,
1137,7,NORTH AUSTIN CIVIC ASSOCIATION,GO,Mixed Use,0.934472944,
2057,2,WINDSOR ROAD,GR,Mixed Use,0.861644665,
1375,159,PLEASANT VALLEY,PUD,Planned Unit Development,29.70210216,
1012,8,MANSFIELD--RIVER PLACE,NO,Office,73.4932205,
1861,19,WALNUT CREEK--PIONEER HILL,SF-3,Single Family,45.55831521,
670,3,GALINDO,SF-6,Single Family,14.19328814,
1957,5,WEST UNIVERSITY,NO,Mixed Use,0.260709813,
870,1,HIGHLAND PARK,LO,Office,0.031954547,
941,2,JOHNSTON TERRACE,CS,Commercial,2.673171459,
2082,11,WOOTEN,MF-3,Multi-Family,9.777192321,
1394,7,POND SPRINGS,MF-3,Multi-Family,72.28060276,
782,30,HANCOCK,CS,Commercial,34.72455261,
1574,64,SOUTH BRODIE,SF-4A,Single Family,187.8278413,
1958,4,WEST UNIVERSITY,NO,Office,0.176923606,
2042,12,WINDSOR PARK,NO,Office,6.107557057,
1470,22,ROSEDALE,CS,Commercial,20.66142245,
1431,1,RMMA,GR,Vertical Mixed Use,0.000472284,
1923,15,WEST OAK HILL,MF-3,Multi-Family,23.62188245,
1425,1,RMMA,CS,Mixed Use,0.167900785,
1332,83,PARKER LANE,LI,Industrial,175.3774303,
1627,78,SOUTH RIVER CITY,CS,Vertical Mixed Use,39.63322992,
1578,7,SOUTH LAMAR,CS,Vertical Mixed Use,45.02995858,
1487,2,ROSEDALE,MF-6,Multi-Family,4.838308242,
749,35,GRACY WOODS,CS,Commercial,130.0191699,
657,10,GALINDO,LO,Office,24.058796,
1767,3,TRIANGLE STATE,GO,Office,3.094209175,
1744,6,TECH RIDGE,CS,Mixed Use,83.12129855,
1329,10,PARKER LANE,GO,Office,14.98917663,
1111,5,MONTOPOLIS,GO,Mixed Use,7.063059349,
758,18,GRACY WOODS,LI,Industrial,104.8536722,
894,6,HOLLY,MF-5,Multi-Family,7.157946474,
1374,63,PLEASANT VALLEY,P,Public,426.6139504,
934,15,JESTER,PUD,Planned Unit Development,268.7437481,
1586,5,SOUTH LAMAR,GR,Vertical Mixed Use,14.32773188,
1014,3,MANSFIELD--RIVER PLACE,PUD,Planned Unit Development,126.2752489,
1902,32,WEST CONGRESS,SF-6,Single Family,8.255451285,
1967,38,WESTGATE,GR,Commercial,18.07517075,
665,2,GALINDO,NO,Mixed Use,0.325100121,
812,1,HARRIS BRANCH,LI,Industrial,4.926984201,
1847,14,WALNUT CREEK--PIONEER HILL,GR,Commercial,32.07049047,
1457,1,ROGERS HILL,LO,Office,0.036039313,
1517,2,SAMSUNG--PIONEER CROSSING,CS,Commercial,3.568786038,
1056,16,MCNEIL,PUD,Planned Unit Development,43.03875945,
1526,7,SAMSUNG--PIONEER CROSSING,RR,"Rural, Lake Austin Residence",130.5892271,
1323,74,ONION CREEK,SF-4A,Single Family,502.0109026,
1714,7,ST. JOHN,LI,Industrial,7.487957324,
1985,14,WESTOVER HILLS,GR,Commercial,13.77332526,
1182,5,NORTH LAMAR,SF-1,Single Family,0.766142695,
2034,22,WINDSOR PARK,LO,Vertical Mixed Use,18.49988058,
271,39,BULL CREEK,PUD,Planned Unit Development,434.9410332,
1013,25,MANSFIELD--RIVER PLACE,P,Public,1159.131457,
893,13,HOLLY,MF-3,Multi-Family,1.55166046,
666,1,GALINDO,NO,Vertical Mixed Use,0.645729044,
1079,7,MLK,RR,"Rural, Lake Austin Residence",0.683811915,
765,33,GRACY WOODS,MF-3,Multi-Family,238.5035655,
1201,3,NORTH LOOP,LR,Vertical Mixed Use,0.146313653,
1418,17,RIVERSIDE,P,Public,19.93280881,
942,33,JOHNSTON TERRACE,CS,Mixed Use,39.32214139,
1639,16,SOUTH RIVER CITY,LR,Commercial,2.089005998,
1945,10,WEST UNIVERSITY,GR,Mixed Use,1.609466485,
1635,5,SOUTH RIVER CITY,L,Vertical Mixed Use,3.567525636,
867,6,HIGHLAND PARK,GR,Commercial,14.57747016,
1670,1,SPICEWOOD,GO,Office,6.818292143,
266,4,BULL CREEK,LA,"Rural, Lake Austin Residence",52.17252564,
856,7,HIGHLAND,NO,Mixed Use,0.534505445,
1582,1,SOUTH LAMAR,GO,Mixed Use,2.852208988,
910,1,HYDE PARK,LR,Vertical Mixed Use,0.071114475,
1822,14,UT,SF-3,Single Family,21.19097569,
668,57,GALINDO,SF-3,Single Family,186.5777814,
889,6,HOLLY,LO,Mixed Use,0.665418432,
1147,21,NORTH AUSTIN CIVIC ASSOCIATION,P,Public,31.13060534,
1389,5,POND SPRINGS,LI,Industrial,12.92727138,
1549,1,SLAUGHTER CREEK,NO,Mixed Use,0.503674918,
717,5,GEORGIAN ACRES,NO,Mixed Use,0.662646767,
916,1,HYDE PARK,NO,Vertical Mixed Use,0.425213892,
930,9,JESTER,LR,Commercial,46.35257512,
946,17,JOHNSTON TERRACE,GR,Mixed Use,14.05862627,
1002,15,MANSFIELD--RIVER PLACE,GO,Office,62.23382637,
810,1,HARRIS BRANCH,GR,Commercial,1.044821278,
1768,1,TRIANGLE STATE,MF-1,Multi-Family,6.860554509,
1799,5,UPPER BOGGY CREEK,GR,Vertical Mixed Use,1.727734869,
862,17,HIGHLAND,UNZ,Unzoned,56.16954477,
1269,7,NORTHWEST HILLS,SF-6,Single Family,35.23702975,
1061,8,MCNEIL,SF-6,Single Family,88.24816772,
1686,25,ST. EDWARDS,CS,Vertical Mixed Use,28.46759056,
1222,4,NORTH SHOAL CREEK,LR,Commercial,0.898070399,
1471,1,ROSEDALE,CS,Mixed Use,0.394028018,
1620,11,SOUTH MANCHACA,P,Public,5.141532192,
1291,1,OLD WEST AUSTIN,LR,Mixed Use,0.15221952,
1692,44,ST. EDWARDS,GR,Commercial,48.05196084,
1996,6,WESTOVER HILLS,SF-6,Single Family,28.70095618,
716,60,GEORGIAN ACRES,MH,Mobile Home,6.566098346,
777,3,GRACY WOODS,SF-5,Single Family,11.11963874,
2075,6,WOOTEN,CS-1,Mixed Use,0.303379462,
1818,11,UT,MF-3,Multi-Family,20.30132531,
1927,61,WEST OAK HILL,PUD,Planned Unit Development,166.5882708,
1450,1,ROGERS HILL,CS-1,Commercial,0.047594953,
785,2,HANCOCK,CS-1,Commercial,0.406160769,
652,2,GALINDO,GO,Vertical Mixed Use,2.392911911,
1011,1,MANSFIELD--RIVER PLACE,MF-4,Multi-Family,31.96150269,
814,1,HARRIS BRANCH,P,Public,4.361999501,
1607,1,SOUTH MANCHACA,CS-1,Vertical Mixed Use,0.163955677,
875,6,HIGHLAND PARK,PUD,Planned Unit Development,154.9347822,
1917,25,WEST OAK HILL,LO,Mixed Use,14.74419548,
1386,7,POND SPRINGS,GO,Office,25.51929815,
981,3,JOLLYVILLE,UNZ,Unzoned,0.878562221,
996,18,LBJ,SF-3,Single Family,88.02667467,
1594,1,SOUTH LAMAR,MF-4,Multi-Family,0.007096291,
763,5,GRACY WOODS,MF-1,Multi-Family,22.80625289,
1017,44,MANSFIELD--RIVER PLACE,SF-1,Single Family,388.1699746,
2083,33,WOOTEN,MF-4,Multi-Family,5.702280657,
1250,2,NORTHWEST HILLS,CS-1,Commercial,0.386414337,
896,22,HOLLY,P,Public,77.58801164,
803,3,HANCOCK,SF-4A,Single Family,0.135918481,
1027,12,MCKINNEY,GR,Commercial,19.30753171,
960,2,JOLLYVILLE,CR,Commercial,43.22157852,
1299,15,OLD WEST AUSTIN,P,Public,63.56236208,
811,2,HARRIS BRANCH,GR,Mixed Use,16.66276912,
1979,8,WESTGATE,SF-6,Single Family,2.644568689,
1124,3,MONTOPOLIS,MH,Mobile Home,1.739641681,
1562,3,SOUTH BRODIE,GO,Office,49.82463519,
1555,1,SLAUGHTER CREEK,SF-3,Single Family,2.085647202,
1981,1,WESTOVER HILLS,CR,Commercial,3.498256678,
1568,4,SOUTH BRODIE,NO,Office,14.11579394,
734,15,GOVALLE,LO,Office,4.949423259,
1377,4,PLEASANT VALLEY,SF-1,Single Family,1.881261533,
1010,4,MANSFIELD--RIVER PLACE,MF-2,Multi-Family,91.17304227,
1340,144,PARKER LANE,PUD,Planned Unit Development,11.45690279,
1638,3,SOUTH RIVER CITY,LO,Office,2.968635187,
784,15,HANCOCK,CS,Vertical Mixed Use,2.438947279,
2096,8,ZILKER,LO,Office,3.559220091,
656,2,GALINDO,LO,Mixed Use,0.538076343,
912,4,HYDE PARK,MF-2,Multi-Family,2.50964731,
1863,3,WALNUT CREEK--PIONEER HILL,TND,Mixed Use,31.39071765,
1825,1,VILLAGE AT WESTERN OAKS,CS,Mixed Use,67.60439741,
1851,2,WALNUT CREEK--PIONEER HILL,LR,Commercial,0.757205715,
1281,1,OLD WEST AUSTIN,CS-1,Mixed Use,0.190462461,
1700,15,ST. EDWARDS,MF-4,Multi-Family,5.008894561,
853,6,HIGHLAND,MF-1,Multi-Family,0.339071157,
917,2,HYDE PARK,P,Public,2.683865722,
1270,2,NORTHWEST HILLS,Unclassified,Unclassified,6.383819209,
750,3,GRACY WOODS,CS,Mixed Use,1.659778787,
1437,2,ROBINSON RANCH,CS,Commercial,6.000254682,
2110,6,ZILKER,SF-6,Single Family,8.252255618,
1844,3,WALNUT CREEK--PIONEER HILL,CS-1,Commercial,0.172930759,
1641,27,SOUTH RIVER CITY,MF-2,Multi-Family,5.901013641,
756,4,GRACY WOODS,GR,Mixed Use,41.94809156,
1476,2,ROSEDALE,GO,Office,7.766033275,
1544,1,SLAUGHTER CREEK,LR,Mixed Use,0.74669111,
1551,5,SLAUGHTER CREEK,PUD,Planned Unit Development,580.8630811,
1965,5,WESTGATE,CS-1,Commercial,0.401777863,
695,3,GATEWAY,IP,Industrial,20.07338504,
974,8,JOLLYVILLE,P,Public,71.76575136,
1542,2,SLAUGHTER CREEK,LO,Office,12.44217123,
1249,3,NORTHWEST HILLS,CS,Commercial,2.017975378,
1864,2,WALNUT CREEK--PIONEER HILL,W/LO,Industrial,19.37726552,
327,180,CHERRY CREEK,SF-2,Single Family,595.7233372,
1792,52,UPPER BOGGY CREEK,CS,Mixed Use,7.042189188,
2052,2,WINDSOR ROAD,CS-1,Commercial,0.151673314,
1406,2,RIVERSIDE,CS,Mixed Use,2.161709794,
1077,56,MLK,P,Public,270.8525083,
945,3,JOHNSTON TERRACE,GR,Commercial,1.59473953,
1020,10,MANSFIELD--RIVER PLACE,SF-5,Single Family,36.46726715,
2022,8,WINDSOR PARK,CS-1,Commercial,0.245566804,
936,7,JESTER,SF-1,Single Family,83.73817823,
989,3,LBJ,LO,Office,5.372025827,
1168,21,NORTH LAMAR,GR,Commercial,9.267245842,
704,36,GEORGIAN ACRES,GR,Commercial,24.57053353,
1838,8,VILLAGE AT WESTERN OAKS,SF-3,Single Family,11.86477654,
1815,10,UT,CS-1,Commercial,0.855796462,
1109,1,MONTOPOLIS,CS-1,Commercial,0.018447632,
1882,10,WEST AUSTIN NEIGHBORHOOD GROUP,SF-5,Single Family,1.249920708,
1524,2,SAMSUNG--PIONEER CROSSING,P,Public,56.67514017,
1088,3,MLK-183,GO,Mixed Use,0.319991471,
905,2,HYDE PARK,GR,Vertical Mixed Use,1.749208218,
1315,2,ONION CREEK,LI,Industrial,12.0095391,
1416,61,RIVERSIDE,MF-3,Multi-Family,62.27046917,
1067,6,MLK,CS-1,Mixed Use,0.456474588,
1535,2,SLAUGHTER CREEK,DR,"Agriculture, Development Reserve",9.307197294,
1840,4,VILLAGE AT WESTERN OAKS,SF-6,Single Family,18.2571614,
1941,4,WEST UNIVERSITY,CS-1,Vertical Mixed Use,0.356602674,
1723,915,ST. JOHN,SF-3,Single Family,182.7349864,
1385,5,POND SPRINGS,DR,"Agriculture, Development Reserve",4.133702323,
659,4,GALINDO,LR,Commercial,3.451852202,
1474,3,ROSEDALE,CS-1,Vertical Mixed Use,0.418967305,
1429,2,RMMA,GO,Vertical Mixed Use,0.002261321,
1693,3,ST. EDWARDS,GR,Vertical Mixed Use,1.308022951,
1564,1,SOUTH BRODIE,LO,Mixed Use,3.979668303,
1778,7,UNIVERSITY HILLS,GR,Vertical Mixed Use,15.43177424,
713,29,GEORGIAN ACRES,MF-2,Multi-Family,14.96558504,
808,10,HARRIS BRANCH,DR,"Agriculture, Development Reserve",47.35720985,
2063,3,WINDSOR ROAD,MF-3,Multi-Family,0.208526278,
1169,7,NORTH LAMAR,GR,Mixed Use,12.18220315,
1499,22,ROSEWOOD,GO,Mixed Use,2.019185203,
1626,2,SOUTH RIVER CITY,CS,Mixed Use,0.637065664,
956,6,JOHNSTON TERRACE,W/LO,Industrial,8.713321139,
1274,6,OLD ENFIELD,SF-2,Single Family,4.103619784,
1940,40,WEST UNIVERSITY,CS-1,Commercial,2.690735747,
737,28,GOVALLE,MF-2,Multi-Family,5.105795463,
1850,6,WALNUT CREEK--PIONEER HILL,LO,Office,8.374451578,
1560,13,SOUTH BRODIE,DR,"Agriculture, Development Reserve",106.1946032,
1883,17,WEST AUSTIN NEIGHBORHOOD GROUP,SF-6,Single Family,5.065755113,
824,31,HERITAGE HILLS,CH,Commercial,35.54438262,
1569,1,SOUTH BRODIE,P,Public,3.747612203,
850,12,HIGHLAND,LO,Vertical Mixed Use,1.977174699,
1259,3,NORTHWEST HILLS,LR,Vertical Mixed Use,3.534338082,
1300,4,OLD WEST AUSTIN,PUD,Planned Unit Development,6.359582066,
1172,6,NORTH LAMAR,LI,Industrial,2.934725149,
1263,2,NORTHWEST HILLS,P,Public,0.960809686,
1995,1,WESTOVER HILLS,SF-4A,Single Family,4.836120897,
2014,1212,WINDSOR HILLS,SF-3,Single Family,244.0182357,
1969,61,WESTGATE,LO,Office,11.63869773,
2056,14,WINDSOR ROAD,GR,Commercial,1.44354341,
2089,35,ZILKER,CS,Vertical Mixed Use,53.29898134,
1972,3,WESTGATE,MF-3,Multi-Family,4.201187592,
1592,36,SOUTH LAMAR,MF-2,Multi-Family,89.44254116,
564,233,EAST CONGRESS,LI,Industrial,194.5422419,
1288,15,OLD WEST AUSTIN,LO,Office,6.150108088,
1200,10,NORTH LOOP,LR,Mixed Use,0.512412854,
757,6,GRACY WOODS,IP,Industrial,58.71901535,
1710,9,ST. JOHN,CS-1,Commercial,4.816110319,
864,9,HIGHLAND PARK,CS,Commercial,9.94328999,
1134,285,NORTH AUSTIN CIVIC ASSOCIATION,CS,Commercial,129.5957888,
830,3,HERITAGE HILLS,GR,Vertical Mixed Use,4.999043093,
1163,22,NORTH LAMAR,CS,Mixed Use,3.531027616,
1280,33,OLD WEST AUSTIN,CS,Vertical Mixed Use,25.75474152,
1094,3,MLK-183,LO,Mixed Use,0.368822525,
979,37,JOLLYVILLE,SF-3,Single Family,109.4910687,
1396,1,POND SPRINGS,NO,Mixed Use,0.500624449,
1227,1,NORTH SHOAL CREEK,P,Public,0.963743221,
1674,1,SPICEWOOD,MF-3,Multi-Family,0.026099135,
